Listing...
apache2-bin/oldstable,oldstable 2.4.25-3+deb9u9 amd64 [upgradable from: 2.4.25-3+deb9u7]
apt/oldstable 1.4.11 amd64 [upgradable from: 1.4.9]
apt-transport-https/oldstable 1.4.11 amd64 [upgradable from: 1.4.9]
apt-utils/oldstable 1.4.11 amd64 [upgradable from: 1.4.9]
atril/oldstable 1.16.1-2+deb9u2 amd64 [upgradable from: 1.16.1-2+deb9u1]
atril-common/oldstable,oldstable 1.16.1-2+deb9u2 all [upgradable from: 1.16.1-2+deb9u1]
autopoint/oldstable,oldstable 0.19.8.1-2+deb9u1 all [upgradable from: 0.19.8.1-2]
base-files/oldstable 9.9+deb9u13 amd64 [upgradable from: 9.9+deb9u9]
bind9-host/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
blueman/oldstable 2.0.4-1+deb9u1 amd64 [upgradable from: 2.0.4-1]
bluez/oldstable 5.43-2+deb9u3 amd64 [upgradable from: 5.43-2+deb9u1]
bluez-obexd/oldstable 5.43-2+deb9u3 amd64 [upgradable from: 5.43-2+deb9u1]
bsdtar/oldstable,oldstable,oldstable,oldstable 3.2.2-2+deb9u2 all [upgradable from: 3.2.2-2+deb9u1]
busybox/oldstable 1:1.22.0-19+deb9u2 amd64 [upgradable from: 1:1.22.0-19+b3]
ca-certificates/oldstable,oldstable 20200601~deb9u2 all [upgradable from: 20161130+nmu1+deb9u1]
curl/oldstable 7.52.1-5+deb9u13 amd64 [upgradable from: 7.52.1-5+deb9u9]
dbus/oldstable 1.10.32-0+deb9u1 amd64 [upgradable from: 1.10.28-0+deb9u1]
dbus-user-session/oldstable,oldstable 1.10.32-0+deb9u1 all [upgradable from: 1.10.28-0+deb9u1]
dbus-x11/oldstable 1.10.32-0+deb9u1 amd64 [upgradable from: 1.10.28-0+deb9u1]
debian-archive-keyring/oldstable,oldstable 2017.5+deb9u1 all [upgradable from: 2017.5]
e2fslibs/oldstable 1.43.4-2+deb9u2 amd64 [upgradable from: 1.43.4-2]
e2fsprogs/oldstable 1.43.4-2+deb9u2 amd64 [upgradable from: 1.43.4-2]
exim4-base/oldstable,oldstable 4.89-2+deb9u7 amd64 [upgradable from: 4.89-2+deb9u4]
exim4-config/oldstable,oldstable,oldstable,oldstable 4.89-2+deb9u7 all [upgradable from: 4.89-2+deb9u4]
exim4-daemon-light/oldstable,oldstable 4.89-2+deb9u7 amd64 [upgradable from: 4.89-2+deb9u4]
file/oldstable,oldstable 1:5.30-1+deb9u3 amd64 [upgradable from: 1:5.30-1+deb9u2]
gdisk/oldstable 1.0.1-1+deb9u1 amd64 [upgradable from: 1.0.1-1]
gettext/oldstable 0.19.8.1-2+deb9u1 amd64 [upgradable from: 0.19.8.1-2]
gettext-base/oldstable 0.19.8.1-2+deb9u1 amd64 [upgradable from: 0.19.8.1-2]
ghostscript/oldstable 9.26a~dfsg-0+deb9u7 amd64 [upgradable from: 9.26a~dfsg-0+deb9u3]
ghostscript-x/oldstable 9.26a~dfsg-0+deb9u7 amd64 [upgradable from: 9.26a~dfsg-0+deb9u3]
